small_x,small_y,small_center_x,small_center_y,small_distance,small_start_time,small_stop_time,small_time_interval,big_x,big_y,big_center_x,big_center_y,big_distance,big_start_time,big_stop_time,big_time_interval
839,367,839,361,6.0,21:10:21:16:42:05:952,21:10:21:16:42:09:708,3756,718,281,715,270,11.40175425099138,21:10:21:16:42:09:711,21:10:21:16:42:11:77,1366
649,265,646,262,4.242640687119285,21:10:21:16:42:12:170,21:10:21:16:42:15:657,3487,726,275,729,270,5.830951894845301,21:10:21:16:42:15:657,21:10:21:16:42:18:783,3126
635,313,631,312,4.123105625617661,21:10:21:16:42:26:169,21:10:21:16:42:27:893,1724,776,374,779,374,3.0,21:10:21:16:42:27:893,21:10:21:16:42:30:678,2785
844,330,841,323,7.615773105863909,21:10:21:16:42:31:899,21:10:21:16:42:33:310,1411,897,275,896,270,5.0990195135927845,21:10:21:16:42:33:311,21:10:21:16:42:35:417,2106
650,191,649,191,1.0,21:10:21:16:42:36:743,21:10:21:16:42:38:387,1644,761,291,761,287,4.0,21:10:21:16:42:38:387,21:10:21:16:42:39:529,1142
707,271,705,273,2.8284271247461903,21:10:21:16:42:40:702,21:10:21:16:42:42:141,1439,802,292,803,270,22.02271554554524,21:10:21:16:42:42:141,21:10:21:16:42:46:259,4118
759,235,753,230,7.810249675906654,21:10:21:16:42:48:809,21:10:21:16:42:50:302,1493,858,277,864,270,9.219544457292887,21:10:21:16:42:50:302,21:10:21:16:42:51:762,1460
