small_x,small_y,small_center_x,small_center_y,small_distance,small_start_time,small_stop_time,small_time_interval,big_x,big_y,big_center_x,big_center_y,big_distance,big_start_time,big_stop_time,big_time_interval
860,290,865,291,5.0990195135927845,21:10:21:19:09:53:550,21:10:21:19:09:54:957,1407,854,350,839,356,16.15549442140351,21:10:21:19:09:54:957,21:10:21:19:09:56:120,1163
838,443,841,436,7.615773105863909,21:10:21:19:09:57:560,21:10:21:19:09:58:873,1313,939,385,919,384,20.024984394500787,21:10:21:19:09:58:873,21:10:21:19:10:00:23,1150
879,278,876,270,8.54400374531753,21:10:21:19:12:04:499,21:10:21:19:12:07:970,3471,894,425,887,422,7.615773105863909,21:10:21:19:12:07:971,21:10:21:19:12:13:606,5635
